Abbreviation,Ability,Summary,Rules
PRB,Active Probe,Adds to the range of sensor spotting and reveals hidden Elements,"Elements equipped with active probes have an extended view of the battlefield, enabling them to provide information about targets without moving into short range (see Concealing Record Sheets, p. 280). This special ability automatically confers the Recon (RCN) special ability and allows the Element"
PT#,ProtoMech Transport,Transports # of ProtoMech Points,"An Element with this special ability can transport the indicated number of ProtoMechs. This ability usually applies to DropShips, and is always used in conjunction with the Door special ability (see Transporting Elements, p. 324)."
RAIL,Rail,Element restricted to rails,An Element with the Rail chassis modification can only move in rail hexes.
RC#,Repair Cost,# of 100K C-Bill increments to repair 1 structure,
RCA,Reactive Armor,,"A unit with reactive armor is resistant to damage from explosive ordnance, particularly those delivered by artillery and missile weaponry. If a unit with this special is struck by damage from any areaeffect attack, or by any attacking using the ART, BOMB, MSL or FLK specials, reduce the damage from these attacks by half before applying it (rounding down). For any attack against a unit with reactive armor by a unit with the IF, LRM or SRM specials, reduce the amount of attack's damage by half of the LRM or SRM special's value at the appropriate range (rounding up). If reactive armor  reduces damage below 1 point, treat the attack as delivering 1 point. <p>Note that this damage reducing effect even covers general attacks by units that possess such abilities, so if a unit that can deliver 4 points of damage at Short range attacks a target with reactive armor, and the attacker has the SRM 2/2 special, the damage delivered is 3 points (4 points total - (2 Ã· 2) = 3)."
RCN,Recon,"Reconnaissance Element grants initiative bonus, helps ID Blips","The recon ability works in conjunction with the Mobile Headquarters (MHQ#) ability (see Battlefield Intelligence, p. 263)."
RFA,Reflective Armor,,"A unit with reflective armor is resistant to damage from energy weapons, including flamers, but is much more susceptible to physical attacks, area-effect weapons, and armor-penetrating hits. If a unit with this special is struck by an air-to-ground strafing attack, or by a weapon attack by a unit with the ENE special, or by an attack using the HT special, reduce this damage (or heat) by half before applying it. (Round this damage down, to a minimum of 1 point of damage or heat applied from that attack type.) <p>If, on the other hand, a unit with this ability suffers damage from any physical attack, an area-effect attack, or by any attack using the ART, BOMB, FLK or MSL specials, double the damage applied by that attack. <p>For all other attacks against a unit with reflective armor, reduce the total damage applied by 1 point (to a minimum of 1 point).<p>Finally, all critical hits suffered by a unit equipped with reflective armor apply a +2 modifier on the unit's Critical Hits Table. Modified critical results of 13 or higher are treated as Engine Hits.<p>Note that this damage reducing (and increasing) effect even covers general attacks by such units that possess such abilities, so if a unit that can deliver 4 points of damage at Short range attacks a target 'Mech with reflective armor, and the attacker also has the HT2 special, the attack will deliver 3 points of damage (4 - 1 = 3), plus 1 point of heat (HT2 Ã· 2 = 1)."
RL X/X/X,Rocket Launchers,Rocket launcher attack,Single shot rocket launcher attack.
RSD#,Remote Sensors Dispenser,Element may deploy up to # of remote sensors,"An Element with this ability may deploy 1 remote sensor per turn per Remote Sensor Dispenser. When deployed sensors are stationary and rest on the surface of the underlying terrain. The sensors are automatically destroyed when any opposing Element enters their hex, and during the End Phase of the turn if they are deployed into a hex containing an opposing hidden Element. Alternatively, the sensor may be destroyed if it takes 1 point of damage. Attacks against a sensor apply a -2 to-hit modifier. Each type of sensor may also be carried as a bomb (taking 1 bomb slot) by any Element capable of carrying bombs. Once deployed, remote sensors may be used to spot for indirect or artillery attacks, as if they were a friendly Element, but they apply an additional +3 to-hit modifier. At the end of the Movement Phase, remote sensors reveal blip counters within 10 hexes if the blip counter is within LOS, and blip counters within 5 hexes (regardless of LOS) unless all the Elements represented by the blip counter have Stealth (STL) or at least one Element in the hex has any type ofeCM. Additionally, remote sensors reveal hidden Elements in their hex automatically unless the Elements have the Stealth (STL) or Mimetic Armor System (MAS) abilities."
S/CNARC#,Narc Missile Beacon,May make an additional attack with Narc beacons,"An Element with this special ability may make an extra attack with its Narc beacon. Any Element hit by a Narc beacon takes 1 additional point of damage from any Indirect Fire (IF), LRM, or SRM attacks for the rest of the game--unless the Element is within an ECM bubble. Standard (IS and Clan) Narc beacon launchers have a maximum range of Medium. Compact (IS and Clan) Narc beacon launchers have a maximum range of Short. Instead of their normal attack, Narc launchers may fire specialty ammo (see p. 308)."
SAW,Saw,Element can clear woods hexes,"An Element with this special ability may forego its attack to clear woods hexes (see Terrain Conversion, p. 323)."
SCAP,Sub-Capital,"Element has Sub-Capital weapons, but not Sub-Capital missiles","Thought not quite as powerful as Capital weapons, Sub-Capital weapons pack significantly more punch than their standard analogues. Sub-Capital weapons have the same range brackets as capital weapons. An Element with Sub-Capital weapons may make a separate attack with these weapons."
SCR#,Screen,Launches screen clouds that obscure LOS,"An Element with a screen launcher may deploy screen clouds (see Screens, p. 292)."
SDS#,Space Defense System,Element can make surface-to-orbit attacks,"Any non-DropShip Element or installation incapable of spacefl ight that mounts capital weapons receives this ability. Combine all Capital weapons (by type, i.e. Capital, Capital Missile, and Sub-Capital) into their own attacks for this Element. List each SDS system separately and append C for Capital, CM for Capital Missile, and SC for Sub Capital to the SDS designation. SDS systems are always treated as a separate attack for any Element that mounts them."
SEAL,Environmental Sealing,Element may operate in hostile environments,"Elements with this ability may operate in hostile environments, underwater, and in vacuum unless they have the EE ability."
SHLD,BattleMech Shield,"Reduced weapon attack damage by 1, but +2 modifier to attacks",Mech shields provide some protection against weapons and physical attacks at the expense of attack accuracy. An Element with this special ability reduces damage from most weapons and physical attacks by 1 point to a minimum of zero. Indirect attacks and area-effect attacks (artillery and bombs) do full damage. All weapon attacks made by an Element with this ability incur an additional +1 to-hit modifier.
SLG,Super Large,Element occupies 3 or more hexes,"An Element with this ability fully occupies three or more BattleForce hexes. Treat each hex as if it were occupied by a Large Element (see Stacking, p. 219)."
SOA,Space Ops Adaptation,Element is outfitted for space operations,"An Element with this special ability can operate in vacuum, but is not capable of spacefl ight on its own."
SPC,Spacefl ight,Element is capable of space fl ight,An Element with this special ability can leave the atmosphere of a planet and move to the space map.
SRCH,Searchlight,Eliminates penalties for night combat,"Elements equipped with a searchlight ignore the to-hit modifiers for combat in darkness (see Darkness, p. 315)."
SRM X/X,Short Range Missiles,Tracks an Element's damage with SRMs,"This ability tracks an Element's standard SRM damage if it can do 10 or more points of damage. This ability allows an Element to use specialty ammo (see Alternate Munitions, p. 308). An attack from an Element with the SRM special ability does less damage to a target with AMS."
ST#,Space Craft Transport,Transports # of Small Craft,"An Element with this special ability can transport the indicated number of Small Craft. This ability usually applies to DropShips, and is always used in conjunction with the Door special ability (see Transporting Elements, p. 324)."
STL,Stealth,Stealth Armor: +1 to-hit at medium range; +2 at long range,"Though various stealth systems exist in BattleTech, the majority are similar enough in function that BattleForce does not distinguish between them. These systems make a target more difficult to hit. For non-infantry targets, apply an additional +1 modifier (for a total of +3) when making medium-range attacks against an Element with this ability. Apply an additional +2 (for a total of +6) when making long-range attacks, and an additional +2 (for a total of +8) for extreme-range attacks. <p>A non-infantry Element with this special ability also has the ECM (ECM) special ability. A battle armor Element with this special ability receives the Light ECM (LECM) special ability. Battle armor Elements with the Stealth special ability receive an additional to-hit modifier of +1 at short range, and the same modifiers at medium, long and extreme range as noninfantry targets."
STR#,Strafe,Strafe attack value,
TAG,Target Acquisition Gear,Designates a target for artillery attacks; max range: Medium,"TAG is used to designate targets for homing artillery attacks. An Element with this ability may designate targets at short and medium ranges (see Artillery, page 285)."
TC X/X/X,Targeting Computer,Attack with -1 to hit modifiers.,Elements with this ability can miss by 1 and still do this much damage.
TELE,Tele-operated Missiles,The Element has Tele-operated Missile launchers,An Element with this ability may treat any or all of its capital missiles as tele-operated capital missiles and may make either standard or tele-operated attacks.
TOR,Torpedo,Element has a separate underwater attack,"The C3i computer enables up to 6 Elements to share targeting information and receive a to-hit bonus. Multiple networks cannot be linked together, and C3i is incompatible with C3. <p>Standard Rules: All C3ielements must belong to the same Unit. All Elements in that Unit get a -1 to-hit modifier on their weapon attacks. <p>Advanced Rules: Elements may belong to any Unit. Ifelements are all in the same Unit, they must be split or detached to gain the full benefit from the system. To make an attack using a C3inetwork, calculate the to-hit number using the range modifier as if the attacker were the networked Element,not affected by an ECM bubble,nearest the target with line of sight. All other modifiers apply as normal. Damage is based on the actual range from attacker to target. Therefore, an attacking Element must have a Damage Value at the range corresponding to its actual range to the target. The attacking Element must also have valid LOS and the target must be in the attacker's firing arc. The C3inetwork itself has no maximum range, and does not improve indirect or physical attacks.<p>Losing C3i<p> Because no master computer exists in an improved C3inetwork, the network cannot be shut down by the loss of a single Element. C3i ceases to function if it is within an ECM bubble (though Elements outside the bubble are unaffected), but resumes normal operation once moved outside the ECM bubble."
TSM,Triple-strength Myomer,Additional MP and +1 physical attack damage when Element is 2+ on heat scale,"Elements with the Triple Strength Myomer special ability move faster and do additional damage when running hot. When at 1 on the heat scale, the Element gains 1 MP instead of losing 1 MP. All other normal effects for being at 1 on the heat scale apply. The Element also does 1 additional point of physical attack damage (standard and melee physical attacks only). When at 2 or higher on the heat scale, all normal rules apply, but the Element retains its additional MP and physical attack bonus.<p>The effects of TSM are cumulative with the Melee (MEL) special ability, so an Element with both abilities can infl ict a total of +2 damage when making a melee attack with active TSM."
TUR,Turret,Element has one or more turrets with 360Â° field of fire and extra attacks,"An Element with a turret has some weapons with a 360-degree field of fire. Damage for all turret-mounted weapons are included in the base damage values for the element and then separately for the TUR special ability. When an Element makes an attack outside of its standard field of fire, it can use its TUR special ability to still make the attack, but can only use the TUR ability's damage values and special abilities. If a special ability is not listed within the TUR special ability, the Element cannot use that ability during the TUR weapon attack. The TUR weapon attack replaces the standard attack; they cannot both be used in the same turn. If the TUR has a FLK, IF or other special ability that replaces a standard attack, the TUR cannot make both the special ability attack and its standard attack.<p>Mobile Structures combine multiple turrets from their 3-hex regions into single turrets. Each of these ""single"" turrets gives the Element an additional attack with a 360-degree arc. As with standard turrets, calculate an indirect fire attack if applicable (see Mobile Structures, p. 270)."
UMU,Underwater Maneuvering Unit,Element moves underwater like a submarine,"An Element with the UMU special ability uses the Submarine movement rules for underwater movement, instead of the normal underwater movement rules (see p. 219)."
UW X/X/X,Underwater Attack,Underwater weapon attack with energy weapons,
VL X/X/X,Variable Lasers,Weapons with -3/-2/-1 to hit modifiers.,"Elements with this ability can miss by 3 at short, 2 at medium, or 1 at long and still do this much damage."
VLG,Very Large,Element occupies 2 hexes,"An Element with this ability fully occupies two BattleForce hexes. Treat each hex as if it were occupied by a Large Element (see Stacking, p. 219)."
VRT,Variable Range Targeting,Enables cycling of different targeting and tracking modes,"Elements equipped with Variable Range Targeting may switch between short-range, long-range or standard targeting during the End Phase of any turn (see Targeting and Tracking Systems, page 323)."
VSTOL,VSTOL,Vertical/Short take-off and landing,"This ability allows an Element to lift off and land in a shorter amount of space than regular aerodyne Units (see Liftoff , Landing and Ground Movement, p. 223)."
VTX#,Vehicle Transport,Transports # of X-type vehicles,"Vehicles differ from other Elements in that the type of bay necessary for transport differs by vehicle weight. The Vehicle Transport special ability indicates which type of vehicle a given bay can accommodate: Medium, Heavy or Super-Heavy (M/H/S; see Transporting Elements, p. 324)."
WAT,Watchdog,Combines Active Probe (PRB) and ECM,"A combination of PRB and ECM, this special ability gives an Element the capabilities of both systems, but with diminished range and effect. Treat an Element with this special ability as having both the LPRB and LECM special abilities."
XMEC,Extended Mechanized,Battle Armor may ride on any 'Mech or Vehicle Element,"Battle armor with this special ability may function as Mechanized battle armor, and can ride on any type of ground Element (see Mechanized Battle Armor, p. 324.)"
